method,topic,nodes,edges,max_degree,degree_1_ratio,clustering_coeff,lcc_nodes_ratio,avg_path_length,analysis_time
OpenIE (Baseline),ALL,7272,20571,1847,0.5825082508250825,0.03241529310028563,0.8587733773377337,3.9715931104909554,0.9149067401885986
OpenIE (Baseline),Topic_A股下跌沪指跌破3400点,337,331,32,0.7032640949554896,0.009109311740890687,0.5014836795252225,4.933995491687799,0.0010013580322265625
OpenIE (Baseline),Topic_中国38个国家免签,91,73,13,0.7582417582417582,0.0,0.23076923076923078,2.7714285714285714,0.001001596450805664
OpenIE (Baseline),Topic_中国加拿大毒贩死刑,461,748,175,0.6420824295010846,0.03027319714496677,0.6160520607375272,3.882546160354352,0.0019979476928710938
OpenIE (Baseline),Topic_中国发现世界最大金矿,329,285,28,0.790273556231003,0.05325443786982249,0.3221884498480243,5.185804132973944,0.0
OpenIE (Baseline),Topic_中国核动力航母国防部回应,180,221,59,0.7722222222222223,0.0,0.29444444444444445,3.397677793904209,0.001001596450805664
OpenIE (Baseline),Topic_中国黄金陈雄伟被查,182,306,120,0.6978021978021978,0.018648018648018648,0.6043956043956044,3.3928273561301086,0.0010728836059570312
OpenIE (Baseline),Topic_中方巴拿马退出一带一路,202,187,31,0.7425742574257426,0.0101010101010101,0.40594059405940597,4.930141523637459,0.0
OpenIE (Baseline),Topic_住建部住宅层高标准调整,179,199,28,0.664804469273743,0.02112676056338028,0.44692737430167595,4.050316455696202,0.0
OpenIE (Baseline),Topic_全国流感病毒阳性率上升,381,564,105,0.6482939632545932,0.020725388601036267,0.5170603674540682,4.453175178700922,0.0010020732879638672
OpenIE (Baseline),Topic_刘强东京东快递员退休金,414,545,131,0.642512077294686,0.013975155279503106,0.5748792270531401,3.9714214799843988,0.0010313987731933594
OpenIE (Baseline),Topic_四川地震,1645,1768,174,0.7045592705167173,0.010127294465152262,0.5683890577507599,4.96990919396764,0.011120796203613281
OpenIE (Baseline),Topic_微信提醒木马病毒,50,47,9,0.68,0.0,0.28,3.142857142857143,0.0010218620300292969
OpenIE (Baseline),Topic_拜登告别演讲,438,642,210,0.7191780821917808,0.016136919315403425,0.589041095890411,3.907972129219075,0.0009815692901611328
OpenIE (Baseline),Topic_提高农村养老金标准,675,1153,175,0.6029629629629629,0.03218776194467729,0.7318518518518519,4.576754728137241,0.005015850067138672
OpenIE (Baseline),Topic_提高城乡居民基础养老金,496,638,130,0.6491935483870968,0.02727272727272727,0.6754032258064516,4.69907945303423,0.002003192901611328
OpenIE (Baseline),Topic_特朗普上任三把火,542,593,109,0.7287822878228782,0.00720164609053498,0.492619926199262,4.281771845343696,0.0019958019256591797
OpenIE (Baseline),Topic_特朗普中国商品加征10关税,473,619,114,0.6765327695560254,0.015793087663080796,0.7293868921775899,4.274283788338389,0.0019989013671875
OpenIE (Baseline),Topic_特朗普乌克兰要求获取,1136,1551,116,0.6205985915492958,0.022080360495681562,0.698943661971831,4.464089117307931,0.011153936386108398
OpenIE (Baseline),Topic_特朗普巴拿马运河控制权,1149,1633,277,0.6527415143603134,0.02251747045121215,0.6979982593559617,4.196780209277057,0.010002851486206055
OpenIE (Baseline),Topic_特朗普政策普京,1209,1863,356,0.6360628618693135,0.01972813134433754,0.727874276261373,4.264391353811149,0.013005256652832031
OpenIE (Baseline),Topic_特朗普新政美国风险,402,328,28,0.7288557213930348,0.0,0.291044776119403,6.465959328028293,0.0010187625885009766
OpenIE (Baseline),Topic_特朗普格陵兰岛军队部署,198,177,24,0.6666666666666666,0.0,0.16161616161616163,2.838709677419355,0.0009982585906982422
OpenIE (Baseline),Topic_特朗普泽连斯基希望协议,624,879,135,0.6233974358974359,0.021161417322834646,0.6955128205128205,4.4261236044741965,0.0030002593994140625
OpenIE (Baseline),Topic_特朗普罪名成立不予惩罚,109,86,22,0.8073394495412844,0.015706806282722516,0.3486238532110092,3.6372688477951636,0.0
OpenIE (Baseline),Topic_特朗普美国国际开发署意味,469,474,74,0.6929637526652452,0.01995841995841996,0.48187633262260127,4.3164208456243855,0.0019998550415039062
OpenIE (Baseline),Topic_特朗普赢得美国总统,959,1499,257,0.6183524504692388,0.015173576519273507,0.6600625651720542,4.366938628591997,0.006999492645263672
OpenIE (Baseline),Topic_特朗普退出联合国人权理事会,374,444,100,0.7165775401069518,0.01753453772582359,0.45454545454545453,4.181482770623042,0.0009829998016357422
OpenIE (Baseline),Topic_特朗普马斯克起诉,904,1158,149,0.661504424778761,0.01621302937997445,0.5940265486725663,4.325495427888491,0.0040683746337890625
OpenIE (Baseline),Topic_移民入境美国,1146,1398,120,0.6945898778359512,0.019130434782608695,0.6387434554973822,4.691286732001226,0.007017612457275391
