method,topic,nodes,edges,max_degree,degree_1_ratio,clustering_coeff,lcc_nodes_ratio,avg_path_length,analysis_time
Ours (Cognitive),ALL,97746,166375,932,0.24174902297792236,0.05043350731916838,0.566621652036912,7.770629031183512,74.06362295150757
Ours (Cognitive),中国 38个国家 免签,430,727,23,0.20232558139534884,0.3146067415730337,0.27209302325581397,5.174034777483054,0.002000570297241211
Ours (Cognitive),中方 巴拿马 退出 “一带一路”,1279,1778,35,0.27443315089913994,0.17076526225279448,0.3776387802971071,5.842375196515554,0.0060007572174072266
Ours (Cognitive),A股 下跌 沪指 跌破 3400点,2102,2393,47,0.3820171265461465,0.1890092879256966,0.22597526165556614,7.67905840550744,0.0060007572174072266
Ours (Cognitive),金价 大涨 历史新高,624,922,76,0.33814102564102566,0.12928548542133933,0.6298076923076923,5.049903931038064,0.003000497817993164
Ours (Cognitive),微信 提醒 木马病毒,199,283,17,0.17587939698492464,0.2630890052356021,0.2964824120603015,3.6066627703097605,0.0009996891021728516
Ours (Cognitive),中国 加拿大 毒贩 死刑,3407,6133,271,0.24948635162899913,0.09618915641780702,0.7340769004989727,6.155949780087965,0.14105629920959473
Ours (Cognitive),中国 核动力航母 国防部 回应,992,1339,50,0.2610887096774194,0.2260053619302949,0.19153225806451613,5.059760512392091,0.0030198097229003906
Ours (Cognitive),中国 发现 世界 最大 金矿,1166,1402,55,0.3113207547169811,0.22027972027972026,0.1483704974271012,5.035690280951741,0.0020003318786621094
Ours (Cognitive),住建部 住宅层高 标准 调整,972,1743,164,0.20267489711934156,0.1261682242990654,0.5442386831275721,4.936057169043936,0.005991458892822266
Ours (Cognitive),特朗普 格陵兰岛 军队 部署,1696,2220,19,0.3113207547169811,0.24626380766731645,0.19516509433962265,7.333644603131008,0.003981828689575195
Ours (Cognitive),特朗普 罪名成立 不予惩罚,490,775,42,0.32040816326530613,0.1726998491704374,0.5326530612244897,4.537371058060713,0.001999378204345703
Ours (Cognitive),中国黄金 陈雄伟 被查,744,1488,195,0.2567204301075269,0.08439576976131756,0.7782258064516129,3.998834645104613,0.006020069122314453
Ours (Cognitive),全国 流感病毒 阳性率 上升,2424,4063,274,0.31600660066006603,0.05759481144283909,0.7533003300330033,4.827387057570256,0.058870792388916016
Ours (Cognitive),刘强东 京东 快递员 退休金,3517,6451,252,0.23997725334091555,0.11387800291724512,0.6687517770827409,6.517984820470085,0.11699628829956055
Ours (Cognitive),拜登 告别演讲,2574,3856,305,0.26728826728826727,0.049518404540186245,0.6449106449106449,6.0505973260129124,0.04762148857116699
Ours (Cognitive),提高 农村 养老金 标准,5343,10476,249,0.22796181920269512,0.09639062236464833,0.6780834737039116,5.792589769057831,0.2822132110595703
Ours (Cognitive),提高 城乡居民 基础养老金,3693,7674,750,0.21797996209044138,0.03555629747099574,0.743298131600325,4.740825619865433,0.15200591087341309
Ours (Cognitive),特朗普 上任 三把火,3679,5718,134,0.2772492525142702,0.12620889748549324,0.5463441152487089,6.324707968371185,0.07799696922302246
Ours (Cognitive),特朗普 中国商品 加征10% 关税,3129,5392,586,0.253435602428891,0.022893136403127713,0.8152764461489294,4.725038239521602,0.11535835266113281
Ours (Cognitive),特朗普 新政 美国 风险,2719,5432,72,0.18131666053696213,0.2210663198959688,0.3074659801397573,6.517345213878463,0.015996694564819336
Ours (Cognitive),特朗普 泽连斯基 希望 协议,3437,8042,170,0.1623508874018039,0.14436024904676867,0.4617398894384638,6.824829100883519,0.057976484298706055
Ours (Cognitive),特朗普 美国国际开发署 意味,3757,7561,109,0.1445302102741549,0.20728460793804454,0.3577322331647591,7.032635047689962,0.039999961853027344
Ours (Cognitive),特朗普 赢得 美国总统,6411,13886,174,0.1394478240524099,0.12712183292917467,0.5203556387459055,6.933353287385084,0.2579832077026367
Ours (Cognitive),特朗普 退出 联合国人权理事会,2259,5618,465,0.1615759185480301,0.07300828822733424,0.650730411686587,5.024064683735986,0.045888662338256836
Ours (Cognitive),特朗普 马斯克 起诉,5595,11252,116,0.16371760500446828,0.17600827969856722,0.3874888293118856,7.356392516394015,0.11166024208068848
Ours (Cognitive),四川 地震,2387,2683,60,0.33766233766233766,0.16175266175266173,0.1922915793883536,6.127864828609756,0.0049839019775390625
Ours (Cognitive),移民 入境 美国,7544,10705,102,0.2994432661717922,0.14072695472789648,0.41025980911983034,6.987358094722914,0.19689607620239258
Ours (Cognitive),特朗普 乌克兰 要求 获取,9356,12807,117,0.25577169730654126,0.19325935059597205,0.3225737494655836,9.444728820755723,0.19265246391296387
Ours (Cognitive),特朗普 巴拿马运河 控制权,10472,16300,199,0.24131016042780748,0.13208329016885942,0.5458365164247517,7.232390606527578,0.7796816825866699
Ours (Cognitive),特朗普 政策 普京,10879,16624,270,0.24248552256641234,0.11267651460922756,0.48561448662560897,7.340050885858156,0.6493499279022217
