method,topic,rank,node,pagerank
Ours (Cognitive),ALL,1,民众不满,0.004464856208827455
Ours (Cognitive),ALL,2,公众关注,0.002243972044778642
Ours (Cognitive),ALL,3,俄乌冲突,0.0009481274015353678
Ours (Cognitive),ALL,4,公众不满,0.0008960778857218871
Ours (Cognitive),ALL,5,公众恐慌,0.000872688028422205
Ours (Cognitive),ALL,6,国外局势动荡,0.0008456531131503847
Ours (Cognitive),ALL,7,民众恐慌,0.0008321045358150476
Ours (Cognitive),ALL,8,官方封杀,0.0007661805058918502
Ours (Cognitive),ALL,9,民众担忧,0.0007209435284423282
Ours (Cognitive),ALL,10,巴拿马反美示威,0.0006714669083635161
Ours (Cognitive),中国 38个国家 免签,1,推动中国与世界的关系发生积极和深远的变化,0.01595828330856841
Ours (Cognitive),中国 38个国家 免签,2,推动中国与世界关系发生积极深远变化,0.014063374964789774
Ours (Cognitive),中国 38个国家 免签,3,中国科技创新不断突破,0.009777329465930603
Ours (Cognitive),中国 38个国家 免签,4,服务中国式现代化,0.009623105484282149
Ours (Cognitive),中国 38个国家 免签,5,中国的科技强国之路越走越宽,0.009474507340344695
Ours (Cognitive),中国 38个国家 免签,6,营造有利外部环境,0.009426479073331811
Ours (Cognitive),中国 38个国家 免签,7,吸引力增强,0.00888481411171293
Ours (Cognitive),中国 38个国家 免签,8,免签朋友圈扩大,0.007962375047661252
Ours (Cognitive),中国 38个国家 免签,9,欧盟不取消对美国威士忌产品百分之五十的关税,0.007758515295324294
Ours (Cognitive),中国 38个国家 免签,10,美国对来自法国和其他欧盟国家的所有葡萄酒香槟等酒类产品征收百分之二百的关税,0.007758515295318367
Ours (Cognitive),中方 巴拿马 退出 “一带一路”,1,美国对华遏制,0.005448286799043467
Ours (Cognitive),中方 巴拿马 退出 “一带一路”,2,巴拿马退出一带一路,0.0054097657838680655
Ours (Cognitive),中方 巴拿马 退出 “一带一路”,3,巴方不再续签谅解备忘录,0.005093218003057248
Ours (Cognitive),中方 巴拿马 退出 “一带一路”,4,巴拿马退出中国一带一路倡议,0.004670997793505932
Ours (Cognitive),中方 巴拿马 退出 “一带一路”,5,中方深表遗憾,0.0045790580878209
Ours (Cognitive),中方 巴拿马 退出 “一带一路”,6,特朗普政府极端重视美国在美洲的利益,0.004205153379529307
Ours (Cognitive),中方 巴拿马 退出 “一带一路”,7,特朗普团队鼓捣毒计,0.003711667090353675
Ours (Cognitive),中方 巴拿马 退出 “一带一路”,8,巴拿马退出一带一路协议,0.003688788598994454
Ours (Cognitive),中方 巴拿马 退出 “一带一路”,9,损害中国利益,0.0035896813645371352
Ours (Cognitive),中方 巴拿马 退出 “一带一路”,10,中方不满,0.003450788627719834
Ours (Cognitive),A股 下跌 沪指 跌破 3400点,1,主升浪来了,0.013764685712786617
Ours (Cognitive),A股 下跌 沪指 跌破 3400点,2,投资者乐观,0.011572028400959795
Ours (Cognitive),A股 下跌 沪指 跌破 3400点,3,大盘创近期新高,0.0070993906235428065
Ours (Cognitive),A股 下跌 沪指 跌破 3400点,4,A股市场,0.0044351584592921
Ours (Cognitive),A股 下跌 沪指 跌破 3400点,5,A股下砸,0.0043647910483581
Ours (Cognitive),A股 下跌 沪指 跌破 3400点,6,A股狂泄,0.0041269621662476524
Ours (Cognitive),A股 下跌 沪指 跌破 3400点,7,主力筹码未松动,0.003919551760483864
Ours (Cognitive),A股 下跌 沪指 跌破 3400点,8,无人驾驶板块抗跌,0.003882100369706567
Ours (Cognitive),A股 下跌 沪指 跌破 3400点,9,分批买入策略,0.0038308616178532456
Ours (Cognitive),A股 下跌 沪指 跌破 3400点,10,A股下跌,0.0035647126936854683
Ours (Cognitive),金价 大涨 历史新高,1,金价上涨,0.01403131377705614
Ours (Cognitive),金价 大涨 历史新高,2,金价大涨,0.008689164281853805
Ours (Cognitive),金价 大涨 历史新高,3,投资者乐观,0.007811491003860213
Ours (Cognitive),金价 大涨 历史新高,4,广州客户买下150万投资金条,0.007414632757003353
Ours (Cognitive),金价 大涨 历史新高,5,网友后悔买少了,0.006984451332104534
Ours (Cognitive),金价 大涨 历史新高,6,国际金价上涨,0.006971370426835764
Ours (Cognitive),金价 大涨 历史新高,7,买黄金,0.006711649036011027
Ours (Cognitive),金价 大涨 历史新高,8,2025年有色金属商品市场价格分化走势延续,0.006318642356106845
Ours (Cognitive),金价 大涨 历史新高,9,投资成功,0.006258006716811197
Ours (Cognitive),金价 大涨 历史新高,10,投资市场新篇章,0.006230922386278564
Ours (Cognitive),微信 提醒 木马病毒,1,用户恐慌,0.04016430061420304
Ours (Cognitive),微信 提醒 木马病毒,2,用户担忧,0.021550867700369188
Ours (Cognitive),微信 提醒 木马病毒,3,诈骗实施,0.01991408978167697
Ours (Cognitive),微信 提醒 木马病毒,4,木马病毒传播,0.018868267449789446
Ours (Cognitive),微信 提醒 木马病毒,5,冒充老板QQ微信诈骗,0.016566853579497814
Ours (Cognitive),微信 提醒 木马病毒,6,财务人员被骗,0.013131348731629456
Ours (Cognitive),微信 提醒 木马病毒,7,紧张气氛升级,0.012254575623324748
Ours (Cognitive),微信 提醒 木马病毒,8,木马病毒入侵公司电脑,0.011919665747064911
Ours (Cognitive),微信 提醒 木马病毒,9,用户面临风险,0.010895683631148524
Ours (Cognitive),微信 提醒 木马病毒,10,李女士瞬间清醒,0.010879476279034414
Ours (Cognitive),中国 加拿大 毒贩 死刑,1,中国依法对4名加拿大籍毒贩执行死刑,0.006384571415553065
Ours (Cognitive),中国 加拿大 毒贩 死刑,2,中国对4名加拿大籍毒贩执行死刑,0.005638070952217924
Ours (Cognitive),中国 加拿大 毒贩 死刑,3,中国司法主权,0.003761315878728822
Ours (Cognitive),中国 加拿大 毒贩 死刑,4,中国是法治国家,0.003669882905170731
Ours (Cognitive),中国 加拿大 毒贩 死刑,5,中国禁毒力度大,0.0035802079248542533
Ours (Cognitive),中国 加拿大 毒贩 死刑,6,加拿大急眼,0.003225019675293952
Ours (Cognitive),中国 加拿大 毒贩 死刑,7,中国大陆对毒贩执行死刑,0.0028205786521275245
Ours (Cognitive),中国 加拿大 毒贩 死刑,8,国外毒枭不敢踏足中国,0.0026595134042252605
Ours (Cognitive),中国 加拿大 毒贩 死刑,9,中国依法对四名加拿大籍毒贩执行死刑,0.002601028603913518
Ours (Cognitive),中国 加拿大 毒贩 死刑,10,中国处决四名加拿大公民,0.002492228649325187
Ours (Cognitive),中国 核动力航母 国防部 回应,1,中国建造大型核动力航母,0.011283870930136511
Ours (Cognitive),中国 核动力航母 国防部 回应,2,欧洲面临挑战,0.00817186565574871
Ours (Cognitive),中国 核动力航母 国防部 回应,3,法国欧洲应与中国恢复良好贸易关系,0.007980835759705896
Ours (Cognitive),中国 核动力航母 国防部 回应,4,中国在国防建设,0.007361580513368763
Ours (Cognitive),中国 核动力航母 国防部 回应,5,国防部回应纯属猜测,0.004556432650617481
Ours (Cognitive),中国 核动力航母 国防部 回应,6,综合考虑航母建设问题,0.004167400479133815
Ours (Cognitive),中国 核动力航母 国防部 回应,7,国家安全需要,0.004134759552981543
Ours (Cognitive),中国 核动力航母 国防部 回应,8,公众关注或猜测,0.003937578195521672
Ours (Cognitive),中国 核动力航母 国防部 回应,9,网友嘲讽,0.003868662938905427
Ours (Cognitive),中国 核动力航母 国防部 回应,10,削弱中国,0.003806249094680945
Ours (Cognitive),中国 发现 世界 最大 金矿,1,中国突破美国包围圈,0.00754549140674539
Ours (Cognitive),中国 发现 世界 最大 金矿,2,中国自身实力增强,0.006816825156665889
Ours (Cognitive),中国 发现 世界 最大 金矿,3,韩国资产巨震,0.006423680141007684
Ours (Cognitive),中国 发现 世界 最大 金矿,4,韩国准备10万亿韩元股市稳定基金,0.0062059694225775255
Ours (Cognitive),中国 发现 世界 最大 金矿,5,对现有金融体系的担忧,0.00596977833685649
Ours (Cognitive),中国 发现 世界 最大 金矿,6,外媒高度关注,0.00391238593980553
Ours (Cognitive),中国 发现 世界 最大 金矿,7,中国自美国进口增长,0.003791357633787788
Ours (Cognitive),中国 发现 世界 最大 金矿,8,金矿价值高达830亿美元,0.003735425568383025
Ours (Cognitive),中国 发现 世界 最大 金矿,9,中国芯片出口破万亿,0.0037203727457168615
Ours (Cognitive),中国 发现 世界 最大 金矿,10,黄金为中国经济安全提供更多保障,0.0032915538924405234
Ours (Cognitive),住建部 住宅层高 标准 调整,1,好房子标准,0.012242783024820627
Ours (Cognitive),住建部 住宅层高 标准 调整,2,土拍市场持续升温,0.007876640166182294
Ours (Cognitive),住建部 住宅层高 标准 调整,3,房企对二零二五年楼市的乐观预期,0.007641585368943976
